DATA date is  22-06-09
ライバー,subscriberCount
AiraniIofifteen 581000
AnyaMelfissa 495000
AyundaRisu 678000
AZKi 639000
CeresFauna 549000
GawrGura 3980000
HakosBaelz 559000
IRyS 831000
KaelaKovalskia 283000
KoboKanaeru 727000
KureijiOllie 1080000
MoonaHoshinova 1090000
MoriCalliope 2060000
NanashiMumei 654000
NinomaeIna'nis 1420000
OuroKronii 735000
PavoliaReine 625000
TakabashiKiara 1370000
TsukumoSana 328000
VestiaZeta 410000
WatsonAmelia 1670000
さくらみこ 1480000
ときのそら 976000
アキ・ローゼンタール 681000
ラプラス・ダークネス 790000
ロボ子さん 839000
不知火フレア 884000
兎田ぺこら 1940000
博衣こより 615000
夏色まつり 1240000
夜空メル 722000
大神ミオ 1000000
大空スバル 1330000
天音かなた 1210000
姫森ルーナ 809000
宝鐘マリン 1930000
尾丸ポルカ 982000
常闇トワ 1060000
戌神ころね 1820000
星街すいせい 1490000
桃鈴ねね 938000
沙花叉クロヱ 835000
湊あくあ 1630000
猫又おかゆ 1390000
獅白ぼたん 1180000
癒月ちょこ 873000
白神フブキ 1880000
白銀ノエル 1500000
百鬼あやめ 1270000
紫咲シオン 1010000
角巻わため 1230000
赤井はあと 1360000
雪花ラミィ 1000000
風真いろは 549000
鷹嶺ルイ 526000
