descending order
DATA date is  22-06-09
ライバー,subscriberCount
GawrGura 3980000
MoriCalliope 2060000
兎田ぺこら 1940000
宝鐘マリン 1930000
白神フブキ 1880000
戌神ころね 1820000
WatsonAmelia 1670000
湊あくあ 1630000
白銀ノエル 1500000
星街すいせい 1490000
さくらみこ 1480000
NinomaeIna'nis 1420000
猫又おかゆ 1390000
TakabashiKiara 1370000
赤井はあと 1360000
大空スバル 1330000
百鬼あやめ 1270000
夏色まつり 1240000
角巻わため 1230000
天音かなた 1210000
獅白ぼたん 1180000
MoonaHoshinova 1090000
KureijiOllie 1080000
常闇トワ 1060000
紫咲シオン 1010000
雪花ラミィ 1000000
大神ミオ 1000000
尾丸ポルカ 982000
ときのそら 976000
桃鈴ねね 938000
不知火フレア 884000
癒月ちょこ 873000
ロボ子さん 839000
沙花叉クロヱ 835000
IRyS 831000
姫森ルーナ 809000
ラプラス・ダークネス 790000
OuroKronii 735000
KoboKanaeru 727000
夜空メル 722000
アキ・ローゼンタール 681000
AyundaRisu 678000
NanashiMumei 654000
AZKi 639000
PavoliaReine 625000
博衣こより 615000
AiraniIofifteen 581000
HakosBaelz 559000
風真いろは 549000
CeresFauna 549000
鷹嶺ルイ 526000
AnyaMelfissa 495000
VestiaZeta 410000
TsukumoSana 328000
KaelaKovalskia 283000
