descending order
DATA date is  22-07-10
ライバー,subscriberCount
GawrGura 4050000
MoriCalliope 2090000
兎田ぺこら 1960000
宝鐘マリン 1950000
白神フブキ 1900000
戌神ころね 1830000
WatsonAmelia 1680000
湊あくあ 1650000
星街すいせい 1520000
白銀ノエル 1510000
さくらみこ 1500000
NinomaeIna'nis 1440000
猫又おかゆ 1410000
TakabashiKiara 1390000
赤井はあと 1370000
大空スバル 1340000
百鬼あやめ 1280000
夏色まつり 1250000
角巻わため 1240000
天音かなた 1220000
獅白ぼたん 1190000
MoonaHoshinova 1120000
KureijiOllie 1120000
常闇トワ 1070000
紫咲シオン 1030000
雪花ラミィ 1010000
大神ミオ 1010000
KoboKanaeru 1000000
尾丸ポルカ 989000
ときのそら 989000
桃鈴ねね 949000
不知火フレア 896000
癒月ちょこ 882000
沙花叉クロヱ 868000
ロボ子さん 845000
IRyS 845000
姫森ルーナ 818000
ラプラス・ダークネス 812000
OuroKronii 756000
夜空メル 730000
AyundaRisu 697000
アキ・ローゼンタール 689000
NanashiMumei 677000
AZKi 656000
PavoliaReine 650000
博衣こより 644000
AiraniIofifteen 598000
風真いろは 584000
HakosBaelz 578000
CeresFauna 573000
鷹嶺ルイ 551000
AnyaMelfissa 513000
VestiaZeta 464000
TsukumoSana 341000
KaelaKovalskia 336000
