DATA date is  22-06-07
ライバー,subscriberCount
AiraniIofifteen 580000
AnyaMelfissa 494000
AyundaRisu 677000
AZKi 639000
CeresFauna 547000
GawrGura 3980000
HakosBaelz 558000
IRyS 830000
KaelaKovalskia 281000
KoboKanaeru 708000
KureijiOllie 1070000
MoonaHoshinova 1090000
MoriCalliope 2060000
NanashiMumei 653000
NinomaeIna'nis 1420000
OuroKronii 733000
PavoliaReine 624000
TakabashiKiara 1370000
TsukumoSana 328000
VestiaZeta 406000
WatsonAmelia 1660000
さくらみこ 1480000
ときのそら 976000
アキ・ローゼンタール 681000
ラプラス・ダークネス 789000
ロボ子さん 838000
不知火フレア 883000
兎田ぺこら 1940000
博衣こより 614000
夏色まつり 1240000
夜空メル 722000
大神ミオ 996000
大空スバル 1330000
天音かなた 1210000
姫森ルーナ 809000
宝鐘マリン 1930000
尾丸ポルカ 981000
常闇トワ 1060000
戌神ころね 1820000
星街すいせい 1490000
桃鈴ねね 938000
沙花叉クロヱ 834000
湊あくあ 1630000
猫又おかゆ 1390000
獅白ぼたん 1170000
癒月ちょこ 872000
白神フブキ 1880000
白銀ノエル 1500000
百鬼あやめ 1270000
紫咲シオン 1010000
角巻わため 1220000
赤井はあと 1360000
雪花ラミィ 1000000
風真いろは 547000
鷹嶺ルイ 525000
