DATA date is  22-07-01
ライバー,subscriberCount
AlbanKnox 385000
AmiciaMichella 81200
AzuraCecillia 53900
BanHada 61400
BonnivierPranaja 81900
DeremKado 32700
EliraPendora 404000
EnnaAlouette 324000
EtnaCrimson 48300
FinanaRyugu 378000
FulgurOvid 259000
Gaon 30400
HaYun 47900
HyonaElatiora 30300
IkeEveland 624000
LaylaAlstroemeria 59800
LeeRoha 88100
LucaKaneshiro 632000
MillieParfait 316000
MiyuOttavia 84900
MystaRias 725000
NagisaArcinia 28300
Nagi【にじさんじ】 69900
NaraHaramaung 55400
NaSera【にじさんじ】 26400
NinaKosaka 429000
OhJiyu 38100
PetraGurin 342000
PomuRainpuff 392000
RaiGalilei 43900
ReimuEndou 290000
RezaAvanluna 55600
RiksaDhirendra 49000
RosemiLovelock 327000
RyuHari 24600
Ryushen 555000
SelenTatsuki 413000
SonnyBrisko 304000
UkiVioleta 319000
VoxAkuma 901000
XiaEkavira 32900
Yamino 583000
YugoAsuma 283000
えま★おうがすと 200000
える【にじさんじ】 278000
でびでび・でびる 495000
ましろ None
アクシア・クローネ 246000
アルス・アルマル 633000
アンジュ・カトリーナ 670000
イブラヒム 478000
エクス・アルビオ 311000
エリー・コニファー 179000
オリバー・エバンス 230000
ギルザレンⅲ世 127000
グウェル・オス・ガール 405000
シスカレオンタイン 115000
シスター・クレア 443000
ジョー・力一 395000
セフィナ 87100
ゼアコルネリア 94100
タカラジマン 112000
ドーラ 309000
ニュイ・ソシエール 392000
ハナマキア 273000
フミ 205000
フレン・E・ルスタリオ 472000
ベルモンド・バンデラス 415000
ミカメラティカ 206000
モイラ 138000
ヤンナリ 126000
ラトナ・プティ 452000
リゼ・ヘルエスタ 661000
ルイス・キャミー 199000
レイン・パターソン 291000
レオス・ヴィンセント 277000
レヴィ・エリファ 280000
ローレン・イロアス 300000
三枝明那 491000
不破湊 580000
伏見ガク 227000
健屋花那 465000
先斗寧 125000
剣持刀也 674000
加賀美ハヤト 523000
勇気ちひろ 619000
卯月コウ 224000
周央サンゴ 374000
壱百満天原サロメ 1400000
夕陽リリ 236000
夜見れな 415000
夢月ロア 353000
夢追翔 284000
天ヶ瀬むゆ 97300
天宮こころ 450000
奈羅花 353000
宇志海いちご 163000
安土桃 127000
家長むぎ 172000
小野町春香 193000
山神カルタ 183000
弦月藤士郎 268000
愛園愛美 173000
成瀬鳴 117000
文野環 321000
早瀬走 213000
明楽レイ 48400
星川サラ 789000
春崎エアル 107000
月ノ美兎 880000
朝日南アカネ 196000
本間ひまわり 694000
来栖夏芽 178000
東堂コハク 112000
桜凛月 214000
森中花咲 276000
椎名唯華 578000
樋口楓 552000
海妹四葉 124000
渋谷ハジメ 147000
瀬戸美夜子 155000
物述有栖 248000
甲斐田晴 465000
町田ちま 511000
白雪巴 365000
相羽ういは 331000
矢車りね 76400
社築 634000
神田笑一 227000
空星きらめ 157000
竜胆尊 505000
舞元啓介 374000
花畑チャイカ 385000
葉加瀬冬雪 370000
葉山舞鈴 250000
葛葉 1330000
西園チグサ 371000
語部紡 77500
赤羽葉子 171000
轟京子 129000
郡道美玲 425000
鈴木勝 251000
鈴谷アキ 142000
鈴鹿詩子 537000
長尾景 300000
雨森小夜 157000
雪城真尋 160000
静凛 354000
飛鳥ひな 104000
魔使マオ 257000
魔界ノりりむ 309000
鷹宮リオン 447000
黒井しば 187000
黛灰 545000
민수하 103000
