DATA date is  22-06-21
ライバー,subscriberCount
AiraniIofifteen 586000
AnyaMelfissa 500000
AyundaRisu 683000
AZKi 644000
CeresFauna 557000
GawrGura 4010000
HakosBaelz 566000
IRyS 836000
KaelaKovalskia 298000
KoboKanaeru 811000
KureijiOllie 1090000
MoonaHoshinova 1100000
MoriCalliope 2070000
NanashiMumei 661000
NinomaeIna'nis 1420000
OuroKronii 744000
PavoliaReine 633000
TakabashiKiara 1380000
TsukumoSana 334000
VestiaZeta 427000
WatsonAmelia 1670000
さくらみこ 1480000
ときのそら 981000
アキ・ローゼンタール 684000
ラプラス・ダークネス 796000
ロボ子さん 842000
不知火フレア 889000
兎田ぺこら 1950000
博衣こより 630000
夏色まつり 1250000
夜空メル 725000
大神ミオ 1000000
大空スバル 1330000
天音かなた 1210000
姫森ルーナ 813000
宝鐘マリン 1930000
尾丸ポルカ 985000
常闇トワ 1060000
戌神ころね 1830000
星街すいせい 1500000
桃鈴ねね 940000
沙花叉クロヱ 855000
湊あくあ 1640000
猫又おかゆ 1400000
獅白ぼたん 1180000
癒月ちょこ 876000
白神フブキ 1890000
白銀ノエル 1500000
百鬼あやめ 1280000
紫咲シオン 1020000
角巻わため 1230000
赤井はあと 1370000
雪花ラミィ 1010000
風真いろは 571000
鷹嶺ルイ 534000
